,271,189,131,82,215,74,43,55,154,21,272,161,83,5,121,184,210,263,110,22,56,190,84,149,111,32,218,8,112,94,211,255,101,274,265,219,144,67,275,186,102,266,232,246,206,191,198,173,165,78,151,25,86,234,222,126,235,158,212,60,200,15,192,79,207,16,51,213,259,237,181,224,39,238,71,89,40,117,193,202,279,153,41,239,118,108,141,280,90,73,240,42,169
21,23271,26333,12953,17980,34669,34148,13590,52699,13590,0,36619,15424,8466,18021,28314,24892,29941,8907,13037,7786,19817,25818,35221,28006,4778,34135,32358,25651,66021,33731,21762,25648,22374,32381,3129,29134,20719,1235,23745,5957,28808,49939,23297,17104,12539,23953,24145,21075,57364,16051,16864,8765,52064,51045,20716,46805,52009,20238,57654,6383,29244,26006,20704,21102,41437,20157,36504,23060,3304,14225,29935,30792,5177,30685,27684,25536,40759,1093,14187,2113,14103,12053,7790,28833,50777,6584,24311,5081,4186,16864,12079,8182,15424
272,20777,45155,35246,20808,1942,6004,22626,64879,22626,36619,0,24752,39277,44129,45231,44763,44535,39718,41900,36997,42162,15718,24602,46529,38357,56155,13108,15551,80883,48835,43295,47569,43311,52831,35074,28684,41656,37020,43547,41115,52668,55003,43168,19716,47697,43755,13177,42012,62428,44512,48299,41488,57128,54947,15338,51964,61438,41728,66495,38345,52868,13216,43011,43232,49017,41647,51559,42862,35555,43088,54725,47676,40335,50171,11765,25220,43609,37904,23515,38925,24432,42635,37544,52438,65639,38900,44113,39571,38501,48299,43934,41778,24752
161,4524,37226,24922,4027,23332,22811,2798,63903,2798,15424,24752,0,24305,28740,39033,40836,44400,24746,26928,22025,31726,24506,36274,46394,13227,48481,18648,24339,80748,48700,38709,43727,33093,43100,15827,31956,31438,15077,38073,21423,42478,54868,37188,3670,32753,39054,16162,31794,62293,29123,38983,26516,56993,54812,8556,51829,61303,34129,66360,20779,43848,12403,32613,33011,48882,33850,51424,40340,15452,28116,46122,41511,20643,41404,13959,26589,43474,16491,4150,14555,4043,27892,22572,43873,65504,20980,39412,19695,14063,38983,28962,23648,1
83,25945,15868,10422,22628,37085,41965,23053,44716,23053,8466,39277,24305,0,10987,20623,21693,26742,451,9838,3193,15150,26941,38985,24807,11749,29831,38293,26774,61717,30532,19288,22449,17364,24450,7184,25935,13683,6789,19663,4700,23828,46740,20098,22663,11938,20754,30115,14039,54165,11370,11220,5597,48865,47846,26275,43606,48810,17039,54455,1911,25198,33691,16037,16435,38238,16958,33305,19861,7359,9865,27472,22861,4576,22754,33654,29300,37560,7181,19398,8796,20315,7460,3197,25223,46473,3243,21112,3667,11160,11220,8043,5887,20635
5,30380,8185,13853,28925,41937,44759,27488,35050,27488,18021,44129,28740,10987,0,7379,8672,15427,9504,4285,10193,4187,35421,26168,13492,23091,18830,46241,35254,50716,19217,5508,11509,5118,13449,16674,16886,3463,15696,6629,15713,11012,38723,11283,30611,19886,6890,38063,3819,46148,1132,15211,13799,40848,39829,34223,35589,40793,8224,46438,10818,12382,41639,5036,5424,30221,5250,21990,8122,17155,4247,16471,10045,14933,9938,41602,20185,29543,16088,27346,17703,28263,5772,8923,14222,35472,12428,7248,12574,22502,15211,16245,13944,28583
121,40673,560,24146,39218,52230,55052,37781,27013,37781,28314,45231,39033,20623,7379,0,2728,9617,15952,11285,18154,7730,43707,28048,7682,31377,11468,54527,43540,43354,13407,2286,5341,3215,5774,24960,17125,5051,25300,1650,21137,4347,32822,4750,38897,26805,2328,46349,5407,40247,8066,22130,20718,34947,33928,42509,29688,34892,5386,40537,20045,5717,49925,5676,4218,20113,4681,16180,3886,25441,11175,9109,3380,22894,3273,49888,25254,23605,25692,35632,29896,36549,12220,18280,5223,28110,19347,1690,21571,30788,22130,23164,20863,36869
184,42476,2325,19936,41021,46148,50210,39584,25703,39584,24892,44763,40836,21693,8672,2728,0,8233,19701,14842,18325,10154,44734,28285,5896,34416,9043,57566,44567,40929,12023,4553,2811,6311,5269,24683,17362,8147,25471,4132,23845,4870,31438,3366,41936,30427,4340,49388,7131,38863,9723,25223,24449,33563,32544,45548,28304,33508,5944,39153,21306,5306,52964,8565,7734,18729,4972,14796,4123,24858,14055,5997,3600,23065,3141,52927,25491,22221,25863,38671,27478,39588,15807,18451,4895,25685,21861,2946,22308,33827,25223,26895,23956,39908
210,46040,9974,24377,44585,45920,49982,43148,27134,43148,29941,44535,44400,26742,15427,9617,8233,0,24928,20069,23552,17579,42163,22930,3099,35658,14385,59125,41996,42765,5470,10510,5799,12171,9230,29910,18612,14007,30698,10037,29072,10898,26334,9324,44529,35654,9942,51981,14556,33759,17680,31527,29676,28459,27440,48141,23200,28404,11171,34049,26533,9267,55557,15990,15159,11547,11369,10377,10894,30085,19282,12955,9020,28292,8401,55520,22368,17117,31090,41264,32705,42181,21034,23678,8837,27521,27088,9304,27535,35069,31527,32122,29966,42501
263,26386,16309,10863,23069,37526,42406,23494,45157,23494,8907,39718,24746,451,9504,15952,19701,24928,0,10161,3516,15473,27264,39308,25130,12072,30154,38616,27097,62040,30855,19611,22772,17687,24773,7507,26258,14006,7112,19986,5023,24151,47063,20421,22986,12261,21077,30438,14362,54488,11693,11543,5920,49188,48169,26598,43929,49133,17362,54778,2234,25521,34014,16360,16758,38561,17281,33628,20184,7682,10188,27795,23184,4899,23077,33977,29623,37883,7504,19721,9119,20638,7783,3520,25546,46796,3566,21435,3990,11483,11543,8366,6210,20958
110,28568,11642,11092,27113,39708,44588,25676,39508,25676,13037,41900,26928,9838,4285,11285,14842,20069,10161,0,6562,7694,31329,27580,17404,18668,22375,42681,31162,54261,23129,8859,15046,8921,16994,12920,18298,7266,13708,12207,12082,16372,40177,12695,27051,18664,10241,34503,7622,47602,3636,14341,12686,42302,41283,30663,37043,42247,9636,47892,9543,17742,38079,8581,8979,31675,8028,25902,12458,13095,1810,20016,15405,11302,15298,38042,21597,30997,14100,23786,15715,24703,2909,6688,17767,39017,10098,10599,10545,18079,14341,15132,13074,25023
22,23665,18511,9481,22210,34805,39685,20773,44877,20773,7786,36997,22025,3193,10193,18154,18325,23552,3516,6562,0,13850,26550,38594,21761,12971,27890,37902,26383,59776,27486,15517,19403,13843,22962,8144,22889,12188,8011,17500,7306,22563,43694,17052,22272,13888,17708,29724,12544,51119,9806,10941,6722,45819,44800,25884,40560,45764,13993,51409,3579,22999,33300,14737,15135,35192,13912,30259,16815,8319,7980,23690,21561,6526,21454,33263,26188,34514,8403,19007,10018,19924,5965,925,22588,44532,4134,18066,4889,12382,10941,9168,7012,20244
56,33366,8077,16839,31911,44923,47745,30474,33139,30474,19817,42162,31726,15150,4187,7730,10154,17579,15473,7694,13850,0,36724,27910,14496,24394,17280,47544,36557,49166,20221,6512,12513,4672,11899,17977,18628,4689,20746,7112,15057,11277,40465,13025,31914,20725,7894,39366,4525,47890,4225,16050,14638,42590,41571,35526,37331,42535,9966,48180,13965,12647,42942,3482,3727,31963,6288,22994,9126,18458,7909,14921,10310,15505,10203,42905,21927,31285,21138,28649,22753,29566,8670,13726,12672,33922,13267,7638,15491,23805,16050,17084,14783,29886
190,26146,44064,24445,24691,13526,13909,23254,63565,23254,25818,15718,24506,26941,35421,43707,44734,42163,27264,31329,26550,36724,0,17929,44760,27635,54386,21041,593,79114,47066,43376,45800,37760,47767,24352,30322,36105,26298,42740,30393,47145,53234,43414,17631,36975,43721,9274,36461,60659,33790,37577,30766,55359,53178,11735,50195,59669,38379,64726,27623,48515,12850,37280,37678,47248,38298,49790,43108,24833,32366,50789,46178,29613,46071,12813,20098,41840,27182,23358,28203,24275,31913,26822,48540,63870,28178,44079,28849,27779,37577,33212,31056,24595
84,37914,28405,26142,36459,25987,30049,35022,44332,35022,35221,24602,36274,38985,26168,28048,28285,22930,39308,27580,38594,27910,17929,0,26186,39363,35812,30452,15369,60540,28492,26811,27226,29242,32488,36240,10942,30504,40453,27063,42281,32325,34660,26684,38351,48863,27271,22274,29389,42085,31541,44671,42654,36785,34604,24735,31621,41095,24975,46152,39511,32525,25850,30823,29992,28674,26364,31216,26378,36721,33204,34382,30447,41501,29828,25813,10266,15555,41971,35086,39931,36003,35959,38710,32095,45296,40066,27629,40737,39507,44671,45100,42944,36323
149,48034,8039,23050,46579,47914,51976,45142,27453,45142,28006,46529,46394,24807,13492,7682,5896,3099,25130,17404,21761,14496,44760,26186,0,34335,11605,61042,43913,42670,5375,9187,4787,10848,8029,28587,20529,12684,29375,8714,27749,8375,22736,5439,46446,34331,8619,53898,13233,30161,16357,30204,28353,25697,23970,50058,19697,25400,9848,31045,25210,8066,57474,14667,13836,11452,10046,10282,9571,28762,17959,8738,7693,26969,7074,57437,20317,19034,29767,43181,31382,44098,19711,22355,7636,27426,25765,7981,26212,33746,30204,30799,28643,44418
111,20000,31734,16899,21450,30904,32406,10487,56978,10487,4778,38357,13227,11749,23091,31377,34416,35658,12072,18668,12971,24394,27635,39363,34335,0,41524,37009,25878,73410,39180,31752,31097,26136,36143,7358,33495,24481,4815,31116,10754,35521,56407,28746,13961,12268,32097,23738,24837,63832,22166,18498,11931,58532,56351,18948,53368,62842,25687,67899,11180,36891,27314,25656,26054,50421,25606,41953,33383,6542,19674,39165,34554,9974,34447,27277,28128,45013,4296,10094,2899,9987,16850,12587,36916,58166,11381,32455,9878,1489,18498,17818,11348,11546
